item_name;item_category;designation;conductor_material;insulation_material;r_ohm_per_km;x_ohm_per_km;c_nf_per_km;max_i_ka;type;r0n_ohm_per_km;x0n_ohm_per_km;r0g_ohm_per_km;x0g_ohm_per_km;phase_sc_current_rating;cpe_sc_current_rating
4C x 4 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx4 A2XFY;Aluminium;XLPE/EPR;9.5;0.0933;250;0.03;Under Ground;28.5;0.2799;28.5;0.2799;0.38;
4C x 6 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx6 A2XFY;Aluminium;XLPE/EPR;5.91;0.0888;290;0.046;Under Ground;17.73;0.2664;17.73;0.2664;0.57;
4C x 6 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx6 A2XFY;Aluminium;XLPE/EPR;5.91;0.0888;290;0.042;Under Ground;17.73;0.2664;17.73;0.2664;0.57;
4C x 6 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx6 A2XFY;Aluminium;XLPE/EPR;5.91;0.0888;290;0.039;Under Ground;17.73;0.2664;17.73;0.2664;0.57;
4C x 10 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx10 A2XFY;Aluminium;XLPE/EPR;3.95;0.0842;360;0.057;Under Ground;11.85;0.2526;11.85;0.2526;0.95;
4C x 10 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx10 A2XFY;Aluminium;XLPE/EPR;3.95;0.0842;360;0.054;Under Ground;11.85;0.2526;11.85;0.2526;0.95;
4C x 10 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx10 A2XFY;Aluminium;XLPE/EPR;3.95;0.0842;360;0.048;Under Ground;11.85;0.2526;11.85;0.2526;0.95;
4C x 16 sqmm (In Ground);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Ground);4Cx16 A2XFY;Aluminium;XLPE/EPR;2.44;0.0805;430;0.074;Under Ground;7.32;0.2415;7.32;0.2415;1.51;
4C x 16 sqmm (In Air);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Air);4Cx16 A2XFY;Aluminium;XLPE/EPR;2.44;0.0805;430;0.069;Under Ground;7.32;0.2415;7.32;0.2415;1.51;
4C x 16 sqmm (In Duct);LV XLPE Armoured IS:7098-1 - Aluminium 4C (In Duct);4Cx16 A2XFY;Aluminium;XLPE/EPR;2.44;0.0805;430;0.063;Under Ground;7.32;0.2415;7.32;0.2415;1.51;
